t,complexity
0.0,-1.6131820312549458e-14
0.5,0.9974869196815174
1.0,3.4493643530500657
1.5,7.410145672952228
2.0,13.374245070634979
2.5,20.62519931760135
3.0,27.566119278858455
3.5,33.753957320285636
4.0,39.67565656720216
4.5,45.41028958210154
5.0,50.888856635079044
5.5,56.142864245041764
6.0,61.16673771758384
6.5,66.15447704880617
7.0,71.19618076441523
7.5,76.12493961995062
8.0,80.93236868068936
8.5,85.73908036785336
9.0,90.45793400079444
9.5,95.17883328842159
10.0,99.85062804007352
10.5,104.2633857616128
11.0,108.300230516457
11.5,112.33798875161104
12.0,116.3911019546382
12.5,120.23514282971973
13.0,124.17700670707373
13.5,128.1531810546247
14.0,131.92545738033752
14.5,135.7660002089901
15.0,139.6302569542426
15.5,143.31535149710962
16.0,146.84767313104646
16.5,150.2099477675699
17.0,153.45308887330435
17.5,156.74936568147757
18.0,160.00298676018292
18.5,163.27804189163896
19.0,166.69982837738573
19.5,170.153763119465
20.0,173.6056085464333
20.5,177.0959853756815
21.0,180.62691330408163
21.5,184.12242225684395
22.0,187.59804394012102
22.5,191.0048876939916
23.0,194.19196440105506
23.5,197.23879441702525
24.0,200.16451716315134
24.5,203.07203181048683
25.0,205.86565493625443
25.5,208.63352175572265
26.0,211.3758323223832
26.5,214.12154638933998
27.0,216.86924652594863
27.5,219.61100102590183
28.0,222.3184600162602
28.5,224.9765125506832
29.0,227.65595258955042
29.5,230.40417601024842
30.0,233.29723124654092
30.5,236.17040323198157
31.0,238.96119064678177
31.5,241.7179896047073
32.0,244.44812370870378
32.5,247.2511206365357
33.0,250.04103055740174
33.5,252.75788202759057
34.0,255.33233362868287
34.5,257.8154550023993
35.0,260.31027008471386
35.5,262.75878127096445
36.0,265.1706574997824
36.5,267.6248404516348
37.0,270.1579277626261
37.5,272.6980499666497
38.0,275.20835361335753
38.5,277.7297180985444
39.0,280.165130513615
39.5,282.54820134648696
40.0,284.87369766677335
40.5,287.1457870298794
41.0,289.3032729306046
41.5,291.4228236386393
42.0,293.4987908644863
42.5,295.6055779170326
43.0,297.76555298481105
43.5,299.90966228836595
44.0,302.0465265502155
44.5,304.21312152855484
45.0,306.45703071676803
45.5,308.70205769254784
46.0,311.01993030355385
46.5,313.30725094102354
47.0,315.476920491816
47.5,317.5562800486579
48.0,319.6105539151864
48.5,321.64519649999335
49.0,323.7092638997001
49.5,325.79919815640045
50.0,327.8734207448738
50.5,329.9055763256146
51.0,331.99155254281675
51.5,334.16389703691175
52.0,336.28609562707396
52.5,338.3533453685047
53.0,340.39454309233906
53.5,342.36529302790757
54.0,344.20150250873576
54.5,345.9371702999242
55.0,347.6348365056584
55.5,349.2451268380689
56.0,350.80454139360927
56.5,352.3797250509516
57.0,353.90649291909824
57.5,355.37387792711354
58.0,356.75672471862265
58.5,358.1002748317112
59.0,359.3609715430658
59.5,360.5395148904268
60.0,361.6821632872787
60.5,362.7104168174287
61.0,363.666210279941
61.5,364.6316853597712
62.0,365.6077174741676
62.5,366.59460451204086
63.0,367.5779685303813
63.5,368.47906764420776
64.0,369.36907056795366
64.5,370.3106904219155
65.0,371.2434262974829
65.5,372.1660799721665
66.0,373.105249388061
66.5,374.0675293907036
67.0,375.0116356699981
67.5,375.93736503504056
68.0,376.8700864836271
68.5,377.75880053703446
69.0,378.528334061012
69.5,379.17776074646474
70.0,379.7349673873464
70.5,380.2159863367364
71.0,380.70442927247956
71.5,381.26795694077583
72.0,381.79479296355737
72.5,382.2056121860531
73.0,382.5491531730365
73.5,382.8496561987725
74.0,383.0635577047286
74.5,383.2015399940922
75.0,383.3219151696532
75.5,383.41227965840267
76.0,383.41156254381593
76.5,383.28492576799914
77.0,383.14101890112045
77.5,383.03115365275715
78.0,382.8404929654888
78.5,382.59464152310676
79.0,382.34127596083664
79.5,382.1796924079067
80.0,382.0848737506431
80.5,382.07475212171124
81.0,382.1720087522712
81.5,382.3229725996669
82.0,382.4838801458112
82.5,382.6731356856554
83.0,382.87921474235276
83.5,382.99699116855163
84.0,383.0580403096009
84.5,383.149011681779
85.0,383.2912523492591
85.5,383.4404658782604
86.0,383.65431639155946
86.5,384.03453190261314
87.0,384.5307772153151
87.5,385.122920395298
88.0,385.814747943029
88.5,386.5186401110612
89.0,387.202763467141
89.5,387.907169360987
90.0,388.5686451398256
90.5,389.18372217002695
91.0,389.7062911182058
91.5,390.16417012628716
92.0,390.6070733723416
92.5,391.02936321463307
93.0,391.4124947439433
93.5,391.7628982876104
94.0,392.05566429023713
94.5,392.3016572940328
95.0,392.5227968817749
95.5,392.7615701068362
96.0,393.0382204294924
96.5,393.32865521868047
97.0,393.65098390845395
97.5,393.9613925271201
98.0,394.25939673872057
98.5,394.54925987201904
99.0,394.85322575690043
99.5,395.16190396587217
100.0,395.43703870969836
100.5,395.6553118767798
101.0,395.8165406408298
101.5,395.9017589217139
102.0,395.9010628935403
102.5,395.78940482128405
103.0,395.6150268071728
103.5,395.42581498495224
104.0,395.2160059536111
104.5,395.06267605250434
105.0,395.0183124390026
105.5,395.0479878164287
106.0,395.14195156804163
106.5,395.2986112691765
107.0,395.47022197279716
107.5,395.69104290659976
108.0,395.8868929566656
108.5,396.07241394677544
109.0,396.2097319123143
109.5,396.23332813001537
110.0,396.206509195214
110.5,396.179386773418
111.0,396.117110913702
111.5,395.98226891637603
112.0,395.85955201609033
112.5,395.7123369482405
113.0,395.5340447535837
113.5,395.4276484361043
114.0,395.35610880462826
114.5,395.23406892850255
115.0,395.12859284834656
115.5,395.0480810670841
116.0,395.0165502904974
116.5,394.9463244175172
117.0,394.82334856242085
117.5,394.6930387566726
118.0,394.55044171137405
118.5,394.3506765771932
119.0,394.08361088130926
119.5,393.74234592646303
120.0,393.33262243592856
120.5,392.9164204726623
121.0,392.56536100144865
121.5,392.2326605574268
122.0,391.8719624165406
122.5,391.55939764549584
123.0,391.3895464998008
123.5,391.34604412806675
124.0,391.4024459424906
124.5,391.59843530526075
125.0,391.89826660345057
125.5,392.25806081638774
126.0,392.66182382935943
126.5,393.10845325391256
127.0,393.52717244933353
127.5,393.8437500344259
128.0,394.0426510954622
128.5,394.15447948602707
129.0,394.19877145115834
129.5,394.13253346200503
130.0,394.14385076238665
130.5,394.2973033993269
131.0,394.57835651575124
131.5,394.93568686286443
132.0,395.3682811000352
132.5,395.9321292559188
133.0,396.6310952863244
133.5,397.41943255913543
134.0,398.1695509711318
134.5,398.850531496523
135.0,399.46857151943215
135.5,400.0603186502868
136.0,400.630712141824
136.5,401.1800707195041
137.0,401.774826727186
137.5,402.3901460961036
138.0,402.97255985395105
138.5,403.5079210225519
139.0,403.99521937966375
139.5,404.47934300424873
140.0,405.00617128023134
140.5,405.573568268841
141.0,406.1916176974831
141.5,406.81004436157275
142.0,407.4276470051318
142.5,408.1083640524691
143.0,408.7777377315282
143.5,409.45509969371864
144.0,410.1596562180944
144.5,410.91639495722023
145.0,411.75622364603845
145.5,412.6247949678868
146.0,413.5388822534796
146.5,414.4153123438343
147.0,415.22583781511776
147.5,415.95738144674453
148.0,416.7046036515154
148.5,417.4372197421391
149.0,418.11960323485613
149.5,418.8033653054225
150.0,419.4661333488532
150.5,420.0841463583007
151.0,420.6669094479334
151.5,421.23122393594474
152.0,421.8396105447106
152.5,422.4862640466841
153.0,423.18225010201576
153.5,424.0066351789666
154.0,424.9079540165735
154.5,425.77738862256183
155.0,426.6473370442302
155.5,427.55767265548815
156.0,428.5426587920171
156.5,429.574675005239
157.0,430.61490343686603
157.5,431.6612528375378
158.0,432.76853236540796
158.5,433.92708348025036
159.0,435.07824780265804
159.5,436.239176845571
160.0,437.3904026090871
160.5,438.4614476071332
161.0,439.50037318184343
161.5,440.54543267201865
162.0,441.5627280819651
162.5,442.5392360154609
163.0,443.5241798520365
163.5,444.49657081671995
164.0,445.41278954623846
164.5,446.30935436359795
165.0,447.20190431654595
165.5,448.0430151216983
166.0,448.8958410492908
166.5,449.78255441144796
167.0,450.7155523883211
167.5,451.7181125194564
168.0,452.7594015776264
168.5,453.80524364729445
169.0,454.8789354152006
169.5,455.9846682474644
170.0,457.08998641709854
170.5,458.1557514984743
171.0,459.14015073266154
171.5,460.0787670012161
172.0,461.03352844080837
172.5,461.9898558102746
173.0,462.89792300011095
173.5,463.81872312129383
174.0,464.78518829219865
174.5,465.7335926435631
175.0,466.6414323442796
175.5,467.5568810739126
176.0,468.478502621116
176.5,469.40878165005125
177.0,470.2676688923218
177.5,471.00696080470306
178.0,471.63678611778215
178.5,472.19039613655116
179.0,472.62681299348696
179.5,473.0012388295505
180.0,473.37553444504636
180.5,473.72555381753847
181.0,474.05420208597377
181.5,474.3569889117814
182.0,474.6160893213317
182.5,474.852839552258
183.0,475.04283869654125
183.5,475.19684379782274
184.0,475.3712837984877
184.5,475.5615441430064
185.0,475.70442047223565
185.5,475.8024268447848
186.0,475.93127370379415
186.5,476.11112454434044
187.0,476.37630430511774
187.5,476.69112244574563
188.0,477.0059402613463
188.5,477.3680178071138
189.0,477.7481469870701
189.5,478.10496921590186
190.0,478.44475985092464
190.5,478.7739950126818
191.0,479.0417210241805
191.5,479.21564332161694
192.0,479.3779154774992
192.5,479.53154616651
193.0,479.64474427353576
193.5,479.8136667087197
194.0,480.0645890181534
194.5,480.2534434182414
195.0,480.41184800199454
195.5,480.58376633039353
196.0,480.7114635535011
196.5,480.7979682225927
197.0,480.812833196944
197.5,480.72762183183124
198.0,480.5459753546395
198.5,480.2921310169499
199.0,480.04982689900726
199.5,479.7788926217492
200.0,479.5016390011212
200.5,479.2098865058714
201.0,478.9756367236767
201.5,478.7948980094354
202.0,478.5781730520384
202.5,478.3042696205258
203.0,477.9996279440451
203.5,477.6851581786068
204.0,477.36314295996755
204.5,476.9904455590531
205.0,476.5990996500121
205.5,476.1607689285738
206.0,475.66552352259026
206.5,475.117847242986
207.0,474.5261695975495
207.5,473.8876613617374
208.0,473.2723681260331
208.5,472.68141647315207
209.0,472.11728864375425
209.5,471.5304917708694
210.0,470.90973297039346
210.5,470.33545570322053
211.0,469.8356176771741
211.5,469.3797045013025
212.0,468.93225766098186
212.5,468.45216889895113
213.0,467.94031444261674
213.5,467.3539690645599
214.0,466.7435707838681
214.5,466.12662054865183
215.0,465.5395527942529
215.5,464.9593265526117
216.0,464.43480519088195
216.5,463.9598280995272
217.0,463.49441231327097
217.5,463.0039346850571
218.0,462.50387658029007
218.5,461.93704274295436
219.0,461.3165041898219
219.5,460.6942798006648
220.0,460.09229087048215
220.5,459.5018248684985
221.0,458.8909877123242
221.5,458.2674747034956
222.0,457.6399666524345
222.5,457.00858501529757
223.0,456.3938083349489
223.5,455.76387658743647
224.0,455.126792805761
224.5,454.4840742844664
225.0,453.7925437002139
225.5,453.0132258008606
226.0,452.1704544832279
226.5,451.28973789094397
227.0,450.4253289729697
227.5,449.5830439718739
228.0,448.79543145380603
228.5,448.1109292884598
229.0,447.52069069909095
229.5,447.0125852835359
230.0,446.60269769678337
230.5,446.287533852151
231.0,445.99610783535513
231.5,445.7096190096446
232.0,445.4212936101705
232.5,445.15992955515986
233.0,444.9382334546774
233.5,444.7126310446782
234.0,444.44287141208383
234.5,444.1518570673566
235.0,443.8180317457849
235.5,443.4632450017409
236.0,443.0757594167679
236.5,442.6725995729977
237.0,442.3065930817387
237.5,442.0365059560732
238.0,441.84513291768343
238.5,441.668981064211
239.0,441.4923651919606
239.5,441.32177219598725
240.0,441.15777550334377
240.5,441.0012489637265
241.0,440.8178046586909
241.5,440.61749023153857
242.0,440.3427442107528
242.5,440.0138602803358
243.0,439.707864645202
243.5,439.3875004678018
244.0,439.04820217595324
244.5,438.6809988248032
245.0,438.29443796905304
245.5,437.8624566669587
246.0,437.37096840499737
246.5,436.80049784311296
247.0,436.2217077238872
247.5,435.6347686293587
248.0,435.07065726869683
248.5,434.6090639589713
249.0,434.2800170208149
249.5,434.04240467276225
250.0,433.9036694903384
250.5,433.83673420902255
251.0,433.7850207891292
251.5,433.7620685090167
252.0,433.7819612865292
252.5,433.8778201819427
253.0,433.98233377884696
253.5,434.0403820254628
254.0,434.04174687677863
254.5,434.04328146738976
255.0,434.08436253523865
255.5,434.13447267890956
256.0,434.20300146762673
256.5,434.2159552128166
257.0,434.16535543867815
257.5,434.0239243085471
258.0,433.83642119480385
258.5,433.6668037138636
259.0,433.48183201345523
259.5,433.3133600879099
260.0,433.194823019443
260.5,433.08320755684184
261.0,432.9496828826268
261.5,432.80221286134076
262.0,432.6583538195845
262.5,432.50833329222763
263.0,432.3173112479445
263.5,432.0653178636256
264.0,431.7744194105167
264.5,431.4630249536114
265.0,431.1800608857683
265.5,430.95667571014945
266.0,430.80739768128234
266.5,430.71844634667104
267.0,430.7115590022849
267.5,430.7578908810759
268.0,430.8495787806935
268.5,431.0104955739458
269.0,431.10617526170773
269.5,431.01869274296746
270.0,430.8060151780958
270.5,430.6694184350056
271.0,430.6410680640879
271.5,430.70671540868534
272.0,430.8829120611752
272.5,431.22297815050854
273.0,431.6326416224739
273.5,432.0740959150486
274.0,432.57443503425054
274.5,433.10705688542737
275.0,433.60726167242416
275.5,434.05782555407626
276.0,434.51802641566763
276.5,434.98228631456107
277.0,435.4571001737898
277.5,435.88753902246657
278.0,436.35278610343596
278.5,436.8389214686571
279.0,437.32589700440275
279.5,437.8942486302359
280.0,438.50279323561296
280.5,439.13821295535394
281.0,439.8235771527744
281.5,440.5330327395736
282.0,441.2727196346011
282.5,441.98886638582405
283.0,442.68238767850795
283.5,443.41004412167814
284.0,444.17621285845473
284.5,444.9614528279526
285.0,445.72263499895064
285.5,446.50425549247825
286.0,447.30252542665784
286.5,448.11255295253306
287.0,448.8265381318616
287.5,449.4657376910204
288.0,450.0431385720669
288.5,450.5225750031278
289.0,450.9399513140277
289.5,451.30363234157977
290.0,451.574397974346
290.5,451.82209581034164
291.0,452.0673699936951
291.5,452.2419571168808
292.0,452.3751582589743
292.5,452.49680181893325
293.0,452.6526846898721
293.5,452.8794689315925
294.0,453.18934802313584
294.5,453.59117010614636
295.0,454.05119816522
295.5,454.5184195973983
296.0,454.9605637812743
296.5,455.3954501972446
297.0,455.76513916287433
297.5,456.0735055123924
298.0,456.34408315628855
298.5,456.5825366435801
299.0,456.84989684377945
299.5,457.2195148103957
300.0,457.60918724763167
300.5,458.0403615713389
301.0,458.52595806462307
301.5,459.00697363207587
302.0,459.4983299485437
302.5,459.9816568791369
303.0,460.4204461784359
303.5,460.80046402586885
304.0,461.12935959016346
304.5,461.45701855926245
305.0,461.75977691069323
305.5,461.9674746837344
306.0,462.09403091674403
306.5,462.1775951066833
307.0,462.22728089620784
307.5,462.24859774914285
308.0,462.2953450798684
308.5,462.40337158914167
309.0,462.5608453074111
309.5,462.7240602377045
310.0,462.89505685671793
310.5,463.05865158644633
311.0,463.26107715383137
311.5,463.50034295363713
312.0,463.7188385784264
312.5,463.92743194785857
313.0,464.04256329084046
313.5,464.1181975430905
314.0,464.2102518983124
314.5,464.3019461623365
315.0,464.36039061472906
315.5,464.3003607126402
316.0,464.23096468440593
316.5,464.14194275782245
317.0,463.9873799727837
317.5,463.7769833113734
318.0,463.4957288710256
318.5,463.16078745619944
319.0,462.85809696394165
319.5,462.6057047972516
320.0,462.42730635841957
320.5,462.29450225119996
321.0,462.24133134174366
321.5,462.2654148036511
322.0,462.3664934837557
322.5,462.51991124129216
323.0,462.59103388781796
323.5,462.59099976765367
324.0,462.55457236173123
324.5,462.4311315171154
325.0,462.24326387285237
325.5,462.0471560494605
326.0,461.82067400228425
326.5,461.5592720386246
327.0,461.2727735327761
327.5,460.9691524857278
328.0,460.6274361277374
328.5,460.26822489493986
329.0,459.96124166109536
329.5,459.6989972365286
330.0,459.41452808032096
330.5,459.0699744585873
331.0,458.683839021571
331.5,458.32434983555834
332.0,457.91107308983885
332.5,457.4377071125229
333.0,456.9360004558664
333.5,456.4113422282545
334.0,455.83223165647485
334.5,455.17853353780583
335.0,454.46207425286264
335.5,453.71409123586443
336.0,452.9456524764041
336.5,452.1771249039586
337.0,451.42418928786867
337.5,450.6613676327154
338.0,449.86252047270085
338.5,449.0447116038288
339.0,448.28994866593297
339.5,447.5868021462099
340.0,446.88847035760546
340.5,446.1806593976448
341.0,445.5270410171946
341.5,444.87321640760393
342.0,444.1888413323259
342.5,443.53963714027776
343.0,442.9104527074122
343.5,442.23840350427935
344.0,441.62808925454476
344.5,441.0686980765544
345.0,440.54259854776564
345.5,440.06751012238635
346.0,439.64143039563135
346.5,439.25195251754127
347.0,438.9083958892263
347.5,438.61192465006576
348.0,438.39685640709206
348.5,438.1979672653382
349.0,437.960640769493
349.5,437.6318778176094
350.0,437.2039884318706
