nspins,system type,operator,sigma,Nkry,smooth part,oscillatory part,total oscillation ratio of abs(init operator),total of abs(init operator) ,saturation estimate,saturation value
5,intg,1s,4.9670819726739825,993,0.49269655757199593,0.9948096944676258,993.0,31.51190251317746,0.4901393119034483,496.0
5,intg,X1,4.967081972673982,993,0.6050923988424698,0.4812279745834745,979.9531190324412,20.44316458616517,0.2911873895308177,350.9071133394576
5,intg,X2,4.9670819726739825,993,0.5650418135262827,0.49281413490992376,982.1540706005323,21.12457463312544,0.27846059252088945,333.7567698325471
5,intg,Z1,4.9670819726739825,993,0.6113346596461686,0.30376501183321597,970.3431232129697,16.848700832767356,0.18570208012147346,236.79967146339143
5,intg,Z2,4.9670819726739825,993,0.5455478956623718,0.2985982632005281,969.1902349442418,17.09244387938307,0.16289965413748717,206.92746925289305
5,nonintg,1s,4.967081972673981,993,0.4953175683425365,0.9948096944676287,993.0000000000001,31.51190251317746,0.4927467188272875,495.9999999999995
5,nonintg,X1,4.967081972673981,993,0.6347836300614373,0.6471743296336021,973.7564029713049,21.64480508294357,0.4108156702473952,434.2582637919361
5,nonintg,X2,4.967081972673981,993,0.5979159645999086,0.5671715226901944,985.0740588153309,22.824992807203387,0.33912090808290657,366.82339320410927
5,nonintg,Z1,4.967081972673981,993,0.6492810510801426,0.6506120384248685,966.4922199742467,21.214901053066132,0.4224300681538927,463.2482329574335
5,nonintg,Z2,4.967081972673981,993,0.651117472306818,0.5706080761537193,981.0828820895649,20.948234459898984,0.37153288822306607,424.7456048438575
6,intg,X1,5.437345949036311,4033,0.6202028571343909,0.4175783614489103,3971.9757312051815,37.01701183314413,0.25898329284811156,1307.852955003164
6,intg,X2,5.437345949036312,4033,0.5843259313425886,0.45052928485797294,3991.7751652181064,39.89811586505111,0.26325594397174545,1331.6731530144298
6,intg,X3,5.437345949036311,4033,0.5861667026458025,0.4196047312476191,3999.375946903751,38.837903229271745,0.24595832172999502,1209.8587543988197
6,intg,Z1,5.437345949036311,4033,0.6246786352886797,0.2902569985115756,3966.070747404693,30.661224499782918,0.18131734571319938,939.8696428287868
6,intg,Z2,5.437345949036311,4033,0.5651928729237384,0.3046334424236951,3975.829828804597,32.77967497116819,0.1721766505120965,864.7213659929346
6,intg,Z3,5.437345949036311,4033,0.5666022303815401,0.29861011533098414,3988.14219819321,32.86722228266282,0.16919315736102453,877.6512111191411
6,nonintg,X1,5.437345949036318,4033,0.6454721505690734,0.6158765526346539,3915.3114218638852,41.631592830102555,0.3975311629141572,1744.5819302367624
6,nonintg,X2,5.437345949036318,4033,0.6125772502654434,0.5745057079900714,3979.932260174335,44.53303524161276,0.3519291268623597,1574.7947105525654
6,nonintg,X3,5.437345949036318,4033,0.6125656634388428,0.5789871519997,3989.7713819667815,45.02966785240045,0.3546676488872623,1606.9874198942057
6,nonintg,Z1,5.437345949036318,4033,0.6584672270770442,0.6421236715599221,3857.773936514556,39.93462633586584,0.42281739345259256,1871.397991031051
6,nonintg,Z2,5.4373459490363185,4033,0.6598148370483978,0.5979770107461524,3952.79058219957,40.589040257970225,0.39455410390416057,1767.2053234600585
6,nonintg,Z3,5.4373459490363185,4033,0.6598152291367853,0.6040213635310877,3962.521498068754,40.87839144910788,0.3985424943817781,1805.79334015504
7,intg,X1,5.8790231507129285,16257,0.6314593613076942,0.32684595049286536,15910.580058982148,64.87154010638346,0.20638993514423098,4680.544624970941
7,intg,X2,5.879023150712929,16257,0.5991070670738238,0.3946564717809568,16037.477462485944,73.10957041664665,0.23644148131039233,5025.585795602574
7,intg,X3,5.879023150712929,16257,0.6005864739444601,0.3650228789016267,16112.628389223813,71.69840223383245,0.21922780374858364,4732.721769037515
7,intg,Z1,5.879023150712929,16257,0.6348064696865223,0.2100646724530418,15908.036686489328,52.99572111711673,0.13335041312577112,3222.143981515449
7,intg,Z2,5.879023150712929,16257,0.5808179339974311,0.23307979955704317,16027.768480007138,58.07249912435398,0.13537692763525716,3121.046081886884
7,intg,Z3,5.8790231507129285,16257,0.5819975916921074,0.2424127477230846,16091.91238800068,59.707758032804335,0.14108363537030164,3250.721999544593
7,nonintg,X1,5.879023150712942,16257,0.6534036279323523,0.5968788045206761,15541.470952759744,79.53706063054858,0.39000277630973507,7032.925339508227
7,nonintg,X2,5.879023150712943,16257,0.623822861884748,0.5801196718742584,15905.509068118497,87.11160332908685,0.3618919139442408,6648.941353840151
7,nonintg,X3,5.879023150712942,16257,0.6238140081819634,0.5954168843521381,15983.80101912203,88.15747023310125,0.37142939316692386,6747.769870290897
7,nonintg,Z1,5.879023150712941,16257,0.6651085864360113,0.591320568491679,15201.843997612037,75.7356363762079,0.39329238744003925,7375.5471920627315
7,nonintg,Z2,5.879023150712942,16257,0.6661333968425147,0.6015907285682308,15748.035138678651,78.18184283397906,0.40073967553011886,7299.831576932287
7,nonintg,Z3,5.879023150712942,16257,0.6661336254439066,0.6092678854407778,15830.506779071256,78.98019204295872,0.4058538253952081,7444.918158833755
